Date,Hour,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
18-03-2026,24,12494.58,7668.48,5859.41,5859.41,3889.40,3888.33
19-03-2026,1,13918.28,9385.63,6332.63,6332.63,3990.41,3989.80
19-03-2026,2,13662.35,10329.53,6120.60,6120.60,3735.07,3734.97
19-03-2026,3,13755.75,11568.68,6196.23,6196.23,3848.66,3848.34
19-03-2026,4,14207.05,12596.15,6684.08,6684.08,3868.50,3868.73
19-03-2026,5,13941.23,11699.00,6598.88,6598.88,3863.41,3863.93
19-03-2026,6,12882.35,10158.00,6041.03,6041.03,3684.12,3687.24
19-03-2026,7,15359.00,10168.35,7500.24,7500.24,4502.64,4519.48
19-03-2026,8,17361.38,12025.63,8772.14,8772.14,4353.62,4358.17
19-03-2026,9,16637.50,15939.85,10119.40,10119.40,3385.58,3391.34
19-03-2026,10,13517.13,20900.13,9259.08,9259.08,3038.19,3041.27
19-03-2026,11,11483.08,28903.08,8107.96,8107.96,2533.59,2518.87
19-03-2026,12,12105.33,35075.33,8948.48,8948.48,2126.05,2126.07
19-03-2026,13,11416.28,39127.78,9045.25,9045.25,1962.57,1962.68
19-03-2026,14,10581.13,40324.00,8762.73,8762.73,1795.43,1795.28
19-03-2026,15,11809.23,35541.98,8543.78,8543.78,2009.14,2009.02
19-03-2026,16,14531.65,28215.55,9368.95,9368.95,2833.94,2837.43
19-03-2026,17,17142.85,20617.58,10158.65,10158.65,3348.66,3338.69
19-03-2026,18,16107.53,13796.18,8842.20,8842.20,3865.97,3863.66
19-03-2026,19,16805.23,9715.55,8238.68,8238.68,6553.06,6339.50
19-03-2026,20,16944.68,7179.90,6877.68,6877.68,8954.97,8903.29
19-03-2026,21,14485.90,8244.13,6779.13,6779.13,5510.35,5510.38
19-03-2026,22,14609.08,7113.70,6590.31,6590.31,5971.38,5971.12
19-03-2026,23,14346.08,6125.00,6004.32,6004.32,8875.25,8867.72
19-03-2026,24,13415.90,8008.43,6450.08,6450.08,4655.80,4656.07
20-03-2026,1,14012.70,12860.58,5790.41,5790.41,3726.26,3735.58
20-03-2026,2,14823.95,14395.45,6525.20,6525.20,3920.75,3919.94
20-03-2026,3,15430.83,15588.20,7163.30,7163.30,3947.33,3948.81
20-03-2026,4,16185.28,16584.00,7945.35,7945.35,3903.78,3903.78
20-03-2026,5,15466.08,15554.85,7450.10,7450.10,3928.04,3928.11
