date,hour,exchange,mcp,mcv,buy_volume,sell_volume,day_of_week,month,is_weekend,is_peak,grid_period_Evening_Peak,grid_period_Morning_Peak,grid_period_Off_Peak,buy_sell_ratio,daily_avg_mcp,mcp_lag1,mcp_roll7_mean,mcp_roll7_std,mcp_ema_12,mcp_ema_24
2026-03-28,9.0,IEX,2.50734,9460.18,15740.08,26299.28,5,3,1,1,False,True,False,0.5984985138001883,3.7005725,3.9288829166666672,3.3822743452380952,0.535100161456453,3.801459547516421,3.977521500107319
2026-03-28,5.0,IEX,3.96465,9612.2,18044.6,16083.35,5,3,1,0,False,False,True,1.1219428781180891,3.7005725,3.9288829166666672,3.3822743452380952,0.535100161456453,3.801459547516421,3.977521500107319
2026-03-29,14.0,IEX,0.98327,10136.43,10759.93,59428.28,6,3,1,1,False,False,True,0.18105740227025627,2.9423058333333336,3.7005725,3.4110520833333338,0.49905879020924704,3.6692820530267154,3.8947042467654
2026-03-29,23.0,IEX,4.10519,6900.65,15240.65,11981.33,6,3,1,0,False,False,True,1.2720332373183667,2.9423058333333336,3.7005725,3.4110520833333338,0.49905879020924704,3.6692820530267154,3.8947042467654
2026-03-29,22.0,IEX,3.88732,7680.32,14740.95,12877.13,6,3,1,1,True,False,False,1.1447387724246485,2.9423058333333336,3.7005725,3.4110520833333338,0.49905879020924704,3.6692820530267154,3.8947042467654
2026-03-29,21.0,IEX,3.84975,8283.95,15352.55,13814.5,6,3,1,1,True,False,False,1.1113359143571349,2.9423058333333336,3.7005725,3.4110520833333338,0.49905879020924704,3.6692820530267154,3.8947042467654
2026-03-29,20.0,IEX,4.671729999999999,8377.75,16142.33,13587.2,6,3,1,1,True,False,False,1.1880541971943783,2.9423058333333336,3.7005725,3.4110520833333338,0.49905879020924704,3.6692820530267154,3.8947042467654
2026-03-29,19.0,IEX,3.98092,8414.03,15445.73,15498.75,6,3,1,1,True,False,False,0.9965790783149744,2.9423058333333336,3.7005725,3.4110520833333338,0.49905879020924704,3.6692820530267154,3.8947042467654
2026-03-29,18.0,IEX,2.49735,8308.86,13782.48,24468.3,6,3,1,1,True,False,False,0.5632790179279807,2.9423058333333336,3.7005725,3.4110520833333338,0.49905879020924704,3.6692820530267154,3.8947042467654
2026-03-29,17.0,IEX,2.16715,10741.2,14789.68,37788.68,6,3,1,1,False,False,True,0.39137858205383763,2.9423058333333336,3.7005725,3.4110520833333338,0.49905879020924704,3.6692820530267154,3.8947042467654
2026-03-29,16.0,IEX,1.65378,11784.29,13652.05,45640.38,6,3,1,1,False,False,True,0.29912218077519903,2.9423058333333336,3.7005725,3.4110520833333338,0.49905879020924704,3.6692820530267154,3.8947042467654
2026-03-29,15.0,IEX,0.98362,10680.43,11815.18,53295.68,6,3,1,1,False,False,True,0.22169113890249806,2.9423058333333336,3.7005725,3.4110520833333338,0.49905879020924704,3.6692820530267154,3.8947042467654
2026-03-29,13.0,IEX,0.98337,10026.28,10398.78,57610.48,6,3,1,1,False,False,True,0.18050153371738933,2.9423058333333336,3.7005725,3.4110520833333338,0.49905879020924704,3.6692820530267154,3.8947042467654
2026-03-29,24.0,IEX,3.71761,7143.1,15200.55,12482.73,6,3,1,0,False,False,True,1.217726409833645,2.9423058333333336,3.7005725,3.4110520833333338,0.49905879020924704,3.6692820530267154,3.8947042467654
2026-03-29,11.0,IEX,0.98328,8960.85,10032.85,47683.55,6,3,1,1,False,False,True,0.21040484607156873,2.9423058333333336,3.7005725,3.4110520833333338,0.49905879020924704,3.6692820530267154,3.8947042467654
2026-03-29,1.0,IEX,4.20406,9438.69,17121.9,15409.1,6,3,1,0,False,False,True,1.1111550959425567,2.9423058333333336,3.7005725,3.4110520833333338,0.49905879020924704,3.6692820530267154,3.8947042467654
2026-03-29,2.0,IEX,3.98812,9886.74,17448.88,17023.18,6,3,1,0,False,False,True,1.0250070779813132,2.9423058333333336,3.7005725,3.4110520833333338,0.49905879020924704,3.6692820530267154,3.8947042467654
2026-03-29,3.0,IEX,3.9034,10452.57,17746.03,18579.05,6,3,1,0,False,False,True,0.9551634766281573,2.9423058333333336,3.7005725,3.4110520833333338,0.49905879020924704,3.6692820530267154,3.8947042467654
2026-03-29,4.0,IEX,3.82769,10639.05,17888.63,19634.5,6,3,1,0,False,False,True,0.9110815142167707,2.9423058333333336,3.7005725,3.4110520833333338,0.49905879020924704,3.6692820530267154,3.8947042467654
2026-03-29,5.0,IEX,3.87632,11223.83,18589.58,19375.93,6,3,1,0,False,False,True,0.9594161410784329,2.9423058333333336,3.7005725,3.4110520833333338,0.49905879020924704,3.6692820530267154,3.8947042467654
2026-03-29,12.0,IEX,0.98329,9590.4,10662.9,54027.08,6,3,1,1,False,False,True,0.19736213761740182,2.9423058333333336,3.7005725,3.4110520833333338,0.49905879020924704,3.6692820530267154,3.8947042467654
2026-03-29,7.0,IEX,4.06811,9669.18,16817.25,16296.2,6,3,1,0,False,True,False,1.0319737110295812,2.9423058333333336,3.7005725,3.4110520833333338,0.49905879020924704,3.6692820530267154,3.8947042467654
2026-03-29,8.0,IEX,3.40097,9599.23,16360.1,19429.88,6,3,1,0,False,True,False,0.842007258489498,2.9423058333333336,3.7005725,3.4110520833333338,0.49905879020924704,3.6692820530267154,3.8947042467654
2026-03-29,9.0,IEX,2.28672,9930.1,14581.78,30757.1,6,3,1,1,False,True,False,0.47409476170572173,2.9423058333333336,3.7005725,3.4110520833333338,0.49905879020924704,3.6692820530267154,3.8947042467654
2026-03-29,10.0,IEX,1.50412,9183.22,10825.6,39025.2,6,3,1,1,False,True,False,0.2774002438738558,2.9423058333333336,3.7005725,3.4110520833333338,0.49905879020924704,3.6692820530267154,3.8947042467654
2026-03-29,6.0,IEX,4.1082,10137.25,17191.95,16082.15,6,3,1,0,False,True,False,1.069008185429804,2.9423058333333336,3.7005725,3.4110520833333338,0.49905879020924704,3.6692820530267154,3.8947042467654
2026-03-30,14.0,IEX,1.54313,12909.09,13580.5,50576.13,0,3,0,1,False,False,True,0.2685159975133495,4.846465416666667,2.9423058333333336,3.7033986309523814,0.6561462859673074,3.8503871858944003,3.970845140357502
2026-03-30,15.0,IEX,1.65449,13079.12,13908.08,46527.6,0,3,0,1,False,False,True,0.2989210704401428,4.846465416666667,2.9423058333333336,3.7033986309523814,0.6561462859673074,3.8503871858944003,3.970845140357502
2026-03-30,16.0,IEX,2.14681,11726.37,14270.75,39406.6,0,3,0,1,False,False,True,0.36214111332565074,4.846465416666667,2.9423058333333336,3.7033986309523814,0.6561462859673074,3.8503871858944003,3.970845140357502
2026-03-30,17.0,IEX,2.82425,11075.44,16223.58,32420.35,0,3,0,1,False,False,True,0.5004134747155988,4.846465416666667,2.9423058333333336,3.7033986309523814,0.6561462859673074,3.8503871858944003,3.970845140357502
2026-03-30,18.0,IEX,3.33823,8308.7,15165.2,19150.65,0,3,0,1,True,False,False,0.7918895699143947,4.846465416666667,2.9423058333333336,3.7033986309523814,0.6561462859673074,3.8503871858944003,3.970845140357502
2026-03-30,20.0,IEX,10.0,6576.5,16909.23,8948.4,0,3,0,1,True,False,False,1.8896372514755295,4.846465416666667,2.9423058333333336,3.7033986309523814,0.6561462859673074,3.8503871858944003,3.970845140357502
2026-03-30,21.0,IEX,8.022689999999999,6624.68,15807.08,9194.38,0,3,0,1,True,False,False,1.7192110814223354,4.846465416666667,2.9423058333333336,3.7033986309523814,0.6561462859673074,3.8503871858944003,3.970845140357502
2026-03-30,22.0,IEX,9.07845,6356.33,16010.55,8758.83,0,3,0,1,True,False,False,1.8279324957466552,4.846465416666667,2.9423058333333336,3.7033986309523814,0.6561462859673074,3.8503871858944003,3.970845140357502
2026-03-30,23.0,IEX,10.0,5185.22,16455.05,7540.53,0,3,0,0,False,False,True,2.182213979412304,4.846465416666667,2.9423058333333336,3.7033986309523814,0.6561462859673074,3.8503871858944003,3.970845140357502
2026-03-30,13.0,IEX,1.7088599999999998,12752.59,13955.15,48259.98,0,3,0,1,False,False,True,0.2891660957403699,4.846465416666667,2.9423058333333336,3.7033986309523814,0.6561462859673074,3.8503871858944003,3.970845140357502
2026-03-30,19.0,IEX,8.6381,6985.8,16488.4,9730.5,0,3,0,1,True,False,False,1.6945069609017966,4.846465416666667,2.9423058333333336,3.7033986309523814,0.6561462859673074,3.8503871858944003,3.970845140357502
2026-03-30,24.0,IEX,10.0,4618.23,16176.73,6973.53,0,3,0,0,False,False,True,2.319733331154045,4.846465416666667,2.9423058333333336,3.7033986309523814,0.6561462859673074,3.8503871858944003,3.970845140357502
